asset_rank,asset_final_score,asset_id,template_id,owner,template_rank,template_final_score,template_score_component,original_mint_number,original_mint_score,original_mint_score_component,original_mint_status,surviving_mint_rank,surviving_mint_rank_score,surviving_mint_rank_score_component,surviving_mint_rank_status,live_supply,issued_supply,rarity_band,burned,price_used,market_data_used
65,53.9116,1099925517791,783764,opxp4.c.wam,18,61.2814,36.7688,5,0.428571,8.5714,ok,5,0.428571,8.5714,ok,8,8,Uncommon,false,false,false
66,53.9116,1099925524234,783760,kntqy.wam,17,61.2814,36.7688,5,0.428571,8.5714,ok,5,0.428571,8.5714,ok,8,8,Uncommon,false,false,false
67,53.9116,1099925547354,783759,nsdbk.wam,16,61.2814,36.7688,5,0.428571,8.5714,ok,5,0.428571,8.5714,ok,8,8,Rare,false,false,false
68,53.8788,1099926348267,784344,bullishasfuk,19,56.4646,33.8788,5,0.5,10,ok,5,0.5,10,ok,9,9,Uncommon,false,false,false
69,53.2456,1099923919847,776074,.w4rg.wam,26,27.6316,16.579,2,0.916667,18.3333,ok,2,0.916667,18.3333,ok,13,13,Common,false,false,false
70,53.2108,1099928302020,784340,zggra.wam,20,51.6476,30.9886,5,0.555556,11.1111,ok,5,0.555556,11.1111,ok,10,10,Uncommon,false,false,false
71,52.9924,1099925583165,783757,xsph.wam,15,66.0984,39.659,5,0.333333,6.6667,ok,5,0.333333,6.6667,ok,7,7,Rare,false,false,false
72,52.9924,1099925583249,783755,xsph.wam,14,66.0984,39.659,5,0.333333,6.6667,ok,5,0.333333,6.6667,ok,7,7,Ultra Rare,false,false,false
73,52.9924,1099925583254,783747,xsph.wam,13,66.0984,39.659,5,0.333333,6.6667,ok,5,0.333333,6.6667,ok,7,7,Ultra Rare,false,false,false
74,52.0984,1099921695294,775997,,21,46.8306,28.0984,5,0.6,12,ok,5,0.6,12,ok,11,11,Uncommon,false,false,false
75,52.0984,1099930534367,784332,wdsra.wam,22,46.8306,28.0984,5,0.6,12,ok,5,0.6,12,ok,11,11,Common,false,false,false
76,50.6628,1099925422475,783468,bullishasfuk,23,42.0137,25.2082,5,0.636364,12.7273,ok,5,0.636364,12.7273,ok,12,12,Common,false,false,false
77,50.6628,1099925422482,783470,bullishasfuk,24,42.0137,25.2082,5,0.636364,12.7273,ok,5,0.636364,12.7273,ok,12,12,Common,false,false,false
78,50.3508,1099921696303,775999,,25,39.4737,23.6842,4,0.666667,13.3333,ok,4,0.666667,13.3333,ok,10,10,Common,false,false,false
79,49.9124,1099925133575,776074,nsdbk.wam,26,27.6316,16.579,3,0.833333,16.6667,ok,3,0.833333,16.6667,ok,13,13,Common,false,false,false
80,48.8788,1099928356447,784344,rqxcm.wam,19,56.4646,33.8788,6,0.375,7.5,ok,6,0.375,7.5,ok,9,9,Uncommon,false,false,false
81,48.7664,1099928356439,784340,rqxcm.wam,20,51.6476,30.9886,6,0.444444,8.8889,ok,6,0.444444,8.8889,ok,10,10,Uncommon,false,false,false
82,48.1974,1099925547340,783764,nsdbk.wam,18,61.2814,36.7688,6,0.285714,5.7143,ok,6,0.285714,5.7143,ok,8,8,Uncommon,false,false,false
83,48.1974,1099925547342,783760,nsdbk.wam,17,61.2814,36.7688,6,0.285714,5.7143,ok,6,0.285714,5.7143,ok,8,8,Uncommon,false,false,false
84,48.1974,1099925583151,783759,xsph.wam,16,61.2814,36.7688,6,0.285714,5.7143,ok,6,0.285714,5.7143,ok,8,8,Rare,false,false,false
85,48.0984,1099921695295,775997,,21,46.8306,28.0984,6,0.5,10,ok,6,0.5,10,ok,11,11,Uncommon,false,false,false
86,48.0984,1099930780884,784332,txyqw.wam,22,46.8306,28.0984,6,0.5,10,ok,6,0.5,10,ok,11,11,Common,false,false,false
87,47.0264,1099925433726,783468,nsdbk.wam,23,42.0137,25.2082,6,0.545455,10.9091,ok,6,0.545455,10.9091,ok,12,12,Common,false,false,false
88,47.0264,1099925480281,783470,sanbw.wam,24,42.0137,25.2082,6,0.545455,10.9091,ok,6,0.545455,10.9091,ok,12,12,Common,false,false,false
89,46.579,1099925141446,776074,bsyru.wam,26,27.6316,16.579,4,0.75,15,ok,4,0.75,15,ok,13,13,Common,false,false,false
90,46.3256,1099926171225,783757,5uzr.wam,15,66.0984,39.659,6,0.166667,3.3333,ok,6,0.166667,3.3333,ok,7,7,Rare,false,false,false
91,46.3256,1099929499758,783755,wdsra.wam,14,66.0984,39.659,6,0.166667,3.3333,ok,6,0.166667,3.3333,ok,7,7,Ultra Rare,false,false,false
92,46.3256,1099929499760,783747,wdsra.wam,13,66.0984,39.659,6,0.166667,3.3333,ok,6,0.166667,3.3333,ok,7,7,Ultra Rare,false,false,false
93,45.9064,1099921696304,775999,,25,39.4737,23.6842,5,0.555556,11.1111,ok,5,0.555556,11.1111,ok,10,10,Common,false,false,false
