asset_rank,asset_final_score,asset_id,template_id,owner,template_rank,template_final_score,template_score_component,original_mint_number,original_mint_score,original_mint_score_component,original_mint_status,surviving_mint_rank,surviving_mint_rank_score,surviving_mint_rank_score_component,surviving_mint_rank_status,live_supply,issued_supply,rarity_band,burned,price_used,market_data_used
140,74.2968,1099651222544,445272,yoitscharlie,8,65.7084,39.425,26,0.871795,17.4359,ok,26,0.871795,17.4359,ok,196,146,Uncommon,false,false,false
141,74.1985,1099659329473,449935,yoitscharlie,6,68.1861,40.9117,25,0.832168,16.6434,ok,25,0.832168,16.6434,ok,144,144,Uncommon,false,false,false
142,74.0936,1099642207744,441677,yoitscharlie,7,65.8037,39.4822,27,0.865285,17.3057,ok,27,0.865285,17.3057,ok,194,144,Uncommon,false,false,false
143,74.0916,1099651222545,445272,yoitscharlie,8,65.7084,39.425,27,0.866667,17.3333,ok,27,0.866667,17.3333,ok,196,146,Uncommon,false,false,false
144,73.9187,1099659329474,449935,yoitscharlie,6,68.1861,40.9117,26,0.825175,16.5035,ok,26,0.825175,16.5035,ok,144,144,Uncommon,false,false,false
145,73.8866,1099651222546,445272,yoitscharlie,8,65.7084,39.425,28,0.861538,17.2308,ok,28,0.861538,17.2308,ok,196,146,Uncommon,false,false,false
146,73.8864,1099642207745,441677,yoitscharlie,7,65.8037,39.4822,28,0.860104,17.2021,ok,28,0.860104,17.2021,ok,194,144,Uncommon,false,false,false
147,73.8477,1099667784769,453934,yoitscharlie,5,70.8069,42.4841,20,0.784091,15.6818,ok,20,0.784091,15.6818,ok,89,89,Uncommon,false,false,false
148,73.8031,1099682369055,458168,bsyru.wam,4,72.6652,43.5991,13,0.755102,15.102,ok,13,0.755102,15.102,ok,50,39,Rare,false,false,false
149,73.6814,1099651222547,445272,yoitscharlie,8,65.7084,39.425,29,0.85641,17.1282,ok,29,0.85641,17.1282,ok,196,146,Uncommon,false,false,false
150,73.679,1099642207746,441677,yoitscharlie,7,65.8037,39.4822,29,0.854922,17.0984,ok,29,0.854922,17.0984,ok,194,144,Uncommon,false,false,false
151,73.6389,1099659329475,449935,yoitscharlie,6,68.1861,40.9117,27,0.818182,16.3636,ok,27,0.818182,16.3636,ok,144,144,Uncommon,false,false,false
152,73.4762,1099651222548,445272,yoitscharlie,8,65.7084,39.425,30,0.851282,17.0256,ok,30,0.851282,17.0256,ok,196,146,Uncommon,false,false,false
153,73.4718,1099642207747,441677,yoitscharlie,7,65.8037,39.4822,30,0.849741,16.9948,ok,30,0.849741,16.9948,ok,194,144,Uncommon,false,false,false
154,73.3931,1099667784770,453934,yoitscharlie,5,70.8069,42.4841,21,0.772727,15.4545,ok,21,0.772727,15.4545,ok,89,89,Uncommon,false,false,false
155,73.3593,1099659329476,449935,yoitscharlie,6,68.1861,40.9117,28,0.811189,16.2238,ok,28,0.811189,16.2238,ok,144,144,Uncommon,false,false,false
156,73.2712,1099651222549,445272,yoitscharlie,8,65.7084,39.425,31,0.846154,16.9231,ok,31,0.846154,16.9231,ok,196,146,Uncommon,false,false,false
157,73.2646,1099642207748,441677,yoitscharlie,7,65.8037,39.4822,31,0.84456,16.8912,ok,31,0.84456,16.8912,ok,194,144,Uncommon,false,false,false
158,73.1962,1099825711609,401786,5qtbm.wam,3,93.4223,56.0534,17,0.428571,8.5714,ok,17,0.428571,8.5714,ok,29,21,Rare,false,false,false
159,73.1774,1099595898022,401767,qp..w.c.wam,1,94.1847,56.5108,8,0.416667,8.3333,ok,8,0.416667,8.3333,ok,13,13,Ultra Rare,false,false,false
160,73.0795,1099659329477,449935,yoitscharlie,6,68.1861,40.9117,29,0.804196,16.0839,ok,29,0.804196,16.0839,ok,144,144,Uncommon,false,false,false
161,73.066,1099651222550,445272,yoitscharlie,8,65.7084,39.425,32,0.841026,16.8205,ok,32,0.841026,16.8205,ok,196,146,Uncommon,false,false,false
162,73.0574,1099642207749,441677,yoitscharlie,7,65.8037,39.4822,32,0.839378,16.7876,ok,32,0.839378,16.7876,ok,194,144,Uncommon,false,false,false
163,73.0209,1099636300489,438904,pepperstake,9,55.0349,33.0209,1,1,20,ok,1,1,20,ok,420,420,Common,false,false,false
164,72.9869,1099684504346,458168,yoitscharlie,4,72.6652,43.5991,14,0.734694,14.6939,ok,14,0.734694,14.6939,ok,50,39,Rare,false,false,false
165,72.9387,1099667784771,453934,yoitscharlie,5,70.8069,42.4841,22,0.761364,15.2273,ok,22,0.761364,15.2273,ok,89,89,Uncommon,false,false,false
166,72.9255,1099636300490,438904,pepperstake,9,55.0349,33.0209,2,0.997613,19.9523,ok,2,0.997613,19.9523,ok,420,420,Common,false,false,false
167,72.8608,1099651222551,445272,yoitscharlie,8,65.7084,39.425,33,0.835897,16.7179,ok,33,0.835897,16.7179,ok,196,146,Uncommon,false,false,false
