asset_rank,asset_final_score,asset_id,template_id,original_mint_number,surviving_mint_rank,template_final_score
268,68.5827,1099667784780,453934,31,31,70.3652
269,68.5655,1099629283872,435457,25,25,51.1412
270,68.5559,1099651222562,445272,44,44,67.3631
271,68.5133,1099636300523,438904,35,35,52.9319
272,68.4771,1099629283873,435457,26,26,51.1412
273,68.453,1099642207761,441677,44,44,67.4684
274,68.453,1099659329492,449935,44,44,67.4684
275,68.4179,1099636300524,438904,36,36,52.9319
276,68.3889,1099629283874,435457,27,27,51.1412
277,68.3223,1099636300525,438904,37,37,52.9319
278,68.3005,1099629283875,435457,28,28,51.1412
279,68.2799,1099651222563,445272,45,45,67.3631
280,68.2269,1099636300526,438904,38,38,52.9319
281,68.2243,1099809648396,401786,15,15,93.7071
282,68.2123,1099629283876,435457,29,29,51.1412
283,68.1734,1099642207762,441677,45,45,67.4684
284,68.1734,1099659329493,449935,45,45,67.4684
285,68.1315,1099636300527,438904,39,39,52.9319
286,68.1281,1099667784781,453934,32,32,70.3652
287,68.1239,1099629283877,435457,30,30,51.1412
288,68.0839,1099595902167,401779,13,13,93.8651
289,68.0359,1099636300528,438904,40,40,52.9319
290,68.0357,1099629283878,435457,31,31,51.1412
291,68.0098,1099705187231,458168,16,16,72.9986
292,68.0041,1099651222564,445272,46,46,67.3631
293,67.9473,1099629283879,435457,32,32,51.1412
294,67.9405,1099636300529,438904,41,41,52.9319
295,67.8936,1099642207763,441677,46,46,67.4684
296,67.8936,1099659329494,449935,46,46,67.4684
297,67.8591,1099629283880,435457,33,33,51.1412
298,67.8451,1099636300530,438904,42,42,52.9319
299,67.7707,1099629283881,435457,34,34,51.1412
300,67.7495,1099636300531,438904,43,43,52.9319
301,67.7283,1099651222565,445272,47,47,67.3631
302,67.6825,1099629283882,435457,35,35,51.1412
303,67.6737,1099667784782,453934,33,33,70.3652
304,67.6541,1099636300532,438904,44,44,52.9319
305,67.6138,1099642207764,441677,47,47,67.4684
306,67.6138,1099659329495,449935,47,47,67.4684
307,67.5941,1099629283883,435457,36,36,51.1412
308,67.5587,1099636300533,438904,45,45,52.9319
309,67.5059,1099629283884,435457,37,37,51.1412
310,67.4631,1099636300534,438904,46,46,52.9319
311,67.4523,1099651222566,445272,48,48,67.3631
312,67.4175,1099629283885,435457,38,38,51.1412
313,67.3677,1099636300535,438904,47,47,52.9319
314,67.3342,1099642207765,441677,48,48,67.4684
315,67.3342,1099659329496,449935,48,48,67.4684
316,67.3293,1099629283886,435457,39,39,51.1412
317,67.2723,1099636300536,438904,48,48,52.9319
318,67.2409,1099629283887,435457,40,40,51.1412
319,67.2191,1099667784783,453934,34,34,70.3652
320,67.1767,1099636300537,438904,49,49,52.9319
321,67.1765,1099651222567,445272,49,49,67.3631
322,67.1527,1099629283888,435457,41,41,51.1412
323,67.0813,1099636300538,438904,50,50,52.9319
324,67.0643,1099629283889,435457,42,42,51.1412
