atomic_api_url,atomichub_url,collection_name,created_at_time,description,img,is_burnable,is_transferable,issued_supply,max_supply,name,schema_name,template_id,video
https://wax.api.atomicassets.io/atomicassets/v1/templates//776117,https://wax.atomichub.io/market?collection_name=&template_id=776117,,1705261550500,,bafybeibbk67x2m7uveo2k7igh4e5dcrnlduoki4dcjvucbecximzatxbcq,True,True,0,0,👉 MR CHEO SPIT HEAD ⚡️⚡️⚡️,,776117,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776118,https://wax.atomichub.io/market?collection_name=&template_id=776118,,1705261941500,,bafybeigtbucpdjwy3d47jzxfshw4rzjqrzvlsatgpx5dqdmpcuy2ngseny,True,True,0,0,👉 MR CHEO PILL HEAD ⚡️⚡️⚡️,,776118,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776119,https://wax.atomichub.io/market?collection_name=&template_id=776119,,1705262355000,,bafybeifd2abifqzuvhxuybv5pp6ycbemizssmx464qxi35dnkrrgolbw7u,True,True,0,0,👉 MR CHEO PINKY STAINS ⚡️⚡️⚡️,,776119,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776120,https://wax.atomichub.io/market?collection_name=&template_id=776120,,1705262560000,,bafybeidjrbc7wpmwgpg5jm6vb673d7urufczx6piv42wwngd7onbb2o4nu,True,True,0,0,👉 MR CHEO TAB HEAD ⚡️⚡️⚡️,,776120,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776121,https://wax.atomichub.io/market?collection_name=&template_id=776121,,1705263857500,,bafybeieglvlytaxkf3qcnz6dwmxfsuoogsgwhb347ylnudrqkj5b4bzvey,True,True,0,0,👉 MR CHEO BOOM HEAD ⚡️⚡️⚡️,,776121,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776123,https://wax.atomichub.io/market?collection_name=&template_id=776123,,1705265656000,,bafybeic5lvhcuu5lqxnizqwcui73on2js5cizeiljgzbfw2x7cvimn6oli,True,True,0,99,👉 FOLLOW DARREN CULLEN ⚡️⚡️⚡️,,776123,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776124,https://wax.atomichub.io/market?collection_name=&template_id=776124,,1705266321000,,bafybeigqcoeh3ggffddc4dhfteveywp4zmf3ijslvtloes4hbviyptccgu,True,True,0,99,👉 FOREVER DARREN CULLEN ⚡️⚡️⚡️,,776124,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776145,https://wax.atomichub.io/market?collection_name=&template_id=776145,,1705276571500,,bafybeifcq3fa75swsff2mxzo2terqzwmg7vslg6kjwofqwinxxbuvdvizu,True,True,69,0,👉👑 BITCOIN KiD ROYALE ⚡️⚡️⚡️,,776145,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776146,https://wax.atomichub.io/market?collection_name=&template_id=776146,,1705276864500,,bafybeidch5o5c5lnhcikxkctkbk4qfsdzinvhguay6bvw3pxnmt7f5cspu,True,True,63,0,👉 WE ARE VANDALS ⚡️⚡️⚡️,,776146,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776147,https://wax.atomichub.io/market?collection_name=&template_id=776147,,1705277175500,,bafkreieoo6ucz2yvwzyuyh5tw2iangyjly6j7f5wn3q6o4s2vhqyciajri,True,True,65,0,VANDAL ⚡️⚡️⚡️,,776147,
https://wax.api.atomicassets.io/atomicassets/v1/templates//782888,https://wax.atomichub.io/market?collection_name=&template_id=782888,,1708475322500,,bafybeig5ckjqquat5x6z2stj3m5yvucjqrsxktrrjugvmk5wtq2sxmgdra,True,True,123450,0,👉 GKniftyHEADS FUN COUPON ⚡️⚡️⚡️,,782888,
https://wax.api.atomicassets.io/atomicassets/v1/templates//783235,https://wax.atomichub.io/market?collection_name=&template_id=783235,,1708699735000,,bafybeih4olbvgiygho5ifdpljjlmvhtw6ogzgjf2u4ot4ylmxn5ysnp7lm,True,True,8,0,Slickshot 👑🕹️💲,,783235,
https://wax.api.atomicassets.io/atomicassets/v1/templates//783237,https://wax.atomichub.io/market?collection_name=&template_id=783237,,1708700080000,,bafybeiaatjcfetddfkipnfdjbmltz6rxhz6efwmtdbwgzuaswfk6tgh24a,True,True,0,0,Chroma KiD 👑👈,,783237,
https://wax.api.atomicassets.io/atomicassets/v1/templates//783245,https://wax.atomichub.io/market?collection_name=&template_id=783245,,1708701716000,,bafybeicl6i6kbqsfljjuko66l7hy7osppfxjsmvno7bndv5bb2gfxxrefu,True,True,7,0,Shadow Streak 👑👈,,783245,
https://wax.api.atomicassets.io/atomicassets/v1/templates//783247,https://wax.atomichub.io/market?collection_name=&template_id=783247,,1708701910000,,bafybeiaatjcfetddfkipnfdjbmltz6rxhz6efwmtdbwgzuaswfk6tgh24a,True,True,6,0,Chroma KiD 👑👈,,783247,
https://wax.api.atomicassets.io/atomicassets/v1/templates//783250,https://wax.atomichub.io/market?collection_name=&template_id=783250,,1708702329000,,bafybeiaxq3h6ea2qyuew6z56v2cpwe47baj2qq6yr3tbyotqoqioewuraq,True,True,5,0,Raze Rebel 👑👈,,783250,
https://wax.api.atomicassets.io/atomicassets/v1/templates//783252,https://wax.atomichub.io/market?collection_name=&template_id=783252,,1708703211500,,bafybeiayoujdoeyr3prmbqt3rprweatkcqy6xuqgob7t4vxomnjrnvch6i,True,True,6,0,Drift Doodle 👑👈,,783252,
